title,category,start_datetime_local,end_datetime_local,location_name,address_text,city,source,source_url,scraped_at,start_dt,end_dt,start_date,start_hour
100 volte la Pupazza,,2025-02-12T00:00:00+01:00,,gli eroici furori,"Via Melzo, 30, Milano, Porta Venezia",Milan,milanotoday,https://www.milanotoday.it/eventi/100-volte-la-pupazza-la-pupazza.html,2025-12-22T15:40:16.260437+01:00,2025-02-12 00:00:00+01:00,,2025-02-12,0.0
Undicesimo festival internazionale dei depuratori,,2025-09-19T00:00:00+02:00,,Depuratore di Milano Nosedo,"Via San Dionigi, Milano, Corvetto",Milan,milanotoday,https://www.milanotoday.it/eventi/11-festival-internazionale-dei-depuratori-arte-ambiente-energia-il-sogno-circolare-arte-da-mangiare.html,2025-12-22T15:40:19.362594+01:00,2025-09-19 00:00:00+02:00,,2025-09-19,0.0
20 anni di milano whisky festival & rum show 2025,,2025-11-29T00:00:00+01:00,,BASE,"Via Ambrogio Bergognone da Fossano, 34, Milano, Tortona",Milan,milanotoday,https://www.milanotoday.it/eventi/20-anni-di-milano-whisky-festival-rum-show-2025.html,2025-12-22T15:40:22.252877+01:00,2025-11-29 00:00:00+01:00,,2025-11-29,0.0
"2ys of basta con Goedi, Sup Nasa, Amore Audio e Lvnar al Detune",,2025-11-23T00:00:00+01:00,,Detune,"Via Felice Casati, 24, Milano, Porta Venezia",Milan,milanotoday,https://www.milanotoday.it/eventi/2ys-of-basta-con-goedi-sup-nasa-amore-audio-e-lvnar-al-detune-goedi-amore-audio-lvnar-e-sup-nasa.html,2025-12-22T15:40:24.282408+01:00,2025-11-23 00:00:00+01:00,,2025-11-23,0.0
"50 anni di storia, sorrisi e shopping: nel milanese un mese speciale di eventi",centro commerciale Brianza,,,,,Milan,milanotoday,https://www.milanotoday.it/eventi/50-anni-cc-brianza.html,2025-12-22T15:40:27.597878+01:00,,,,
Sei lezioni online per comprendere la storia del design,,2025-09-04T00:00:00+02:00,,online,"Via Privata Stefanardo da Vimercate, Milano, Gorla",Milan,milanotoday,https://www.milanotoday.it/eventi/6-lezioni-online-per-comprendere-la-storia-del-design.html,2025-12-22T15:40:30.503663+01:00,2025-09-04 00:00:00+02:00,,2025-09-04,0.0
Edizione 61 wildlife photographer of the year a Milano,,2025-11-15T00:00:00+01:00,,Museo della Permanente,"Via Filippo Turati, 34, Milano, Porta Nuova",Milan,milanotoday,https://www.milanotoday.it/eventi/61-wildlife-photographer-of-the-year-a-milano-vari.html,2025-12-22T15:40:33.656522+01:00,2025-11-15 00:00:00+01:00,,2025-11-15,0.0
a buccinasco volontari in azione per rigenerare il parco spina azzurra,,2025-05-25T00:00:00+02:00,,Parco Spina Azzurra,"Via Grancino, Buccinasco, ",Milan,milanotoday,https://www.milanotoday.it/eventi/a-buccinasco-volontari-in-azione-per-rigenerare-il-parco-spina-azzurra.html,2025-12-22T15:40:36.199506+01:00,2025-05-25 00:00:00+02:00,,2025-05-25,0.0
"A Casa Emergency arriva ""Anteo nella città"", il cinema itinerante nei municipi milanesi",,2025-06-22T00:00:00+02:00,,Casa EMERGENCY,"Via Santa Croce, 19, Milano, Porta Ticinese",Milan,milanotoday,https://www.milanotoday.it/eventi/a-casa-emergency-arriva-anteo-nella-citta-il-cinema-itinerante-nei-municipi-milanesi-anteo-nella-citta.html,2025-12-22T15:40:41.154614+01:00,2025-06-22 00:00:00+02:00,,2025-06-22,0.0
a citylife shopping district arriva il summer game: il 10 luglio torna la notte bianca con la possibilità di vincere o raddoppiare il valore del proprio shopping,,2025-10-07T00:00:00+02:00,,CityLife Shopping District,"Piazza Tre Torri, Milano, Fiera",Milan,milanotoday,https://www.milanotoday.it/eventi/a-citylife-shopping-district-arriva-il-summer-game-il-10-luglio-torna-la-notte-bianca-con-la-possibilita-di-vincere-o-raddoppiare-il-valore-del-proprio-shopping.html,2025-12-22T15:40:44.064572+01:00,2025-10-07 00:00:00+02:00,,2025-10-07,0.0
A luglio il cinema non va in vacanza: nuovi appuntamenti sotto le stelle per i milanesi in città,,2025-02-07T00:00:00+01:00,,varie,"varie, Milano, ",Milan,milanotoday,https://www.milanotoday.it/eventi/a-luglio-il-cinema-non-va-in-vacanza-nuovi-appuntamenti-sotto-le-stelle-per-i-milanesi-in-citta.html,2025-12-22T15:40:47.546751+01:00,2025-02-07 00:00:00+01:00,,2025-02-07,0.0
A Milano arriva l'evento gratuito che aiuta i manager ad allenare la leadership,,2025-11-24T00:00:00+01:00,,WAO ROMOLO C30,"Viale Cassala, 30, Milano, Moncucco",Milan,milanotoday,https://www.milanotoday.it/eventi/a-milano-arriva-l-evento-gratuito-che-aiuta-i-manager-ad-allenare-la-leadership-wibo.html,2025-12-22T15:40:50.192030+01:00,2025-11-24 00:00:00+01:00,,2025-11-24,0.0
"A Milano il mas Museo d'arte e scienza presenta la collettiva internazionale ""In Alis Artis""",,2025-11-29T00:00:00+01:00,,mas Museo d'arte e scienza,"Via Quintino Sella, 4, Milano, Castello",Milan,milanotoday,https://www.milanotoday.it/eventi/a-milano-il-mas-museo-d-arte-e-scienza-presenta-la-collettiva-internazionale-in-alis-artis.html,2025-12-22T15:40:52.513431+01:00,2025-11-29 00:00:00+01:00,,2025-11-29,0.0
a senago torna la “sagra dei pizzoccheri e dei porcini”: dal 9 al 26 ottobre sapori valtellinesi e atmosfera d’autunno,,2025-09-10T00:00:00+02:00,,centro sportivo di Senago,"Via Giuseppe di Vittorio, 2, Senago, ",Milan,milanotoday,https://www.milanotoday.it/eventi/a-senago-torna-la-sagra-dei-pizzoccheri-e-dei-porcini-dal-9-al-26-ottobre-sapori-valtellinesi-e-atmosfera-d-autunno-mondosagre.html,2025-12-22T15:40:55.049757+01:00,2025-09-10 00:00:00+02:00,,2025-09-10,0.0
A Senago torna la sagra della cassoeula e dei bolliti misti,,2025-10-31T00:00:00+01:00,,centro sportivo di Senago,"Via Giuseppe di Vittorio, 2, Senago, ",Milan,milanotoday,https://www.milanotoday.it/eventi/a-senago-torna-la-sagra-della-cassoeula-e-dei-bolliti-misti-sapori-lombardi-e-atmosfera-di-festa-mondosagre.html,2025-12-22T15:40:58.757735+01:00,2025-10-31 00:00:00+01:00,,2025-10-31,0.0
Absolutely…Ennio Morricone,,2025-03-07T00:00:00+01:00,,Giardini di Leonardo,"Piazza Leonardo da Vinci, 32, Milano, Città Studi",Milan,milanotoday,https://www.milanotoday.it/eventi/absolutely-ennio-morricone-ennio-morricone.html,2025-12-22T15:41:01.708233+01:00,2025-03-07 00:00:00+01:00,,2025-03-07,0.0
Accasaccio in concerto a Milano. Ritmo salentino e solidarietà per la salute mentale,,2025-08-11T00:00:00+02:00,,TEATRO WAGNER,"Piazza Riccardo Wagner, 2, Milano, Porta Magenta",Milan,milanotoday,https://www.milanotoday.it/eventi/accasaccio-in-concerto-a-milano-ritmo-salentino-e-solidarieta-per-la-salute-mentale-accasaccio-band.html,2025-12-22T15:41:04.553712+01:00,2025-08-11 00:00:00+02:00,,2025-08-11,0.0
Aestetica Milano Beauty Matching,aestetica milano,2025-09-18T00:00:00+02:00,,Scuola militare Teuliè,"Corso Italia, 58, Milano, Porta Lodovica",Milan,milanotoday,https://www.milanotoday.it/eventi/aestetica-milano-beauty-matching.html,2025-12-22T15:41:07.737720+01:00,2025-09-18 00:00:00+02:00,,2025-09-18,0.0
"Afghanistan Jaan: aspettando l’alba, mostra personale di Marzia Caramazza con live del trio “Sintonia”",,2025-06-27T00:00:00+02:00,,WAO Isola,"Via Luigi Porro Lambertenghi, 7, Milano, Isola",Milan,milanotoday,https://www.milanotoday.it/eventi/afghanistan-jaan-aspettando-l-alba-mostra-personale-di-marzia-caramazza-live-del-trio-sintonia-marzia-caramazza.html,2025-12-22T15:41:10.066611+01:00,2025-06-27 00:00:00+02:00,,2025-06-27,0.0
Africa Italia summit,,2025-09-18T00:00:00+02:00,,ALLIANZ MICO - MILANO CONFERENCE CENTER,"Piazzale Carlo Magno, 1, Milano, Fiera",Milan,milanotoday,https://www.milanotoday.it/eventi/africa-italia-summit-martino-ghielmi.html,2025-12-22T15:41:12.684080+01:00,2025-09-18 00:00:00+02:00,,2025-09-18,0.0
"al via coca-cola pizza village - milano il food festival dedicato alla cultura della pizza, icona della gastronomia italiana.",,2025-02-09T00:00:00+01:00,,CityLife,"Piazza Elsa Morante, Milano, Fiera",Milan,milanotoday,https://www.milanotoday.it/eventi/al-via-coca-cola-pizza-village-milano-il-food-festival-dedicato-alla-cultura-della-pizza-icona-della-gastronomia-italiana.html,2025-12-22T15:41:15.481468+01:00,2025-02-09 00:00:00+01:00,,2025-02-09,0.0
Alberto Biasi Politipi,,2025-07-19T00:00:00+02:00,,Dep Art Gallery,"Via Comelico, 40, Milano, Porta Romana",Milan,milanotoday,https://www.milanotoday.it/eventi/alberto-biasi-politipi-alberto-biasi.html,2025-12-22T15:41:18.844879+01:00,2025-07-19 00:00:00+02:00,,2025-07-19,0.0
